contig	primer1	primer2	start	end	size	refrag_size
100	J53	J52	3741218	3742903	1685	6809
100	J53	Q51	3741218	3742642	1424	6809
100	J53	FF6	3741218	3742121	903	6809
100	J53	I65	3741218	3742737	1519	6809
100	Q52	J52	3742323	3742903	580	6809
100	Q52	Q51	3742323	3742642	319	6809
100	Q52	I65	3742323	3742737	414	6809
100	FF7	J52	3741931	3742903	972	6809
100	FF7	Q51	3741931	3742642	711	6809
100	FF7	I65	3741931	3742737	806	6809
100	I66	J52	3742416	3742903	487	6809
100	I66	Q51	3742416	3742642	226	6809
100	I66	I65	3742416	3742737	321	6809
100	Y42	Y41	2659698	2660141	443	7416
100	OO44	OO43	1032899	1033369	470	11881
100	GG4	GG5	1415045	1415265	220	13371
100	II1	II2	2484761	2485792	1031	11829
100	II1	II3	2484761	2486266	1505	11829
100	II1	II4	2484761	2486819	2058	11829
100	II1	II5	2484761	2487275	2514	11829
100	II1	HH81	2484761	2488232	3471	11829
100	II1	PP39	2484761	2486199	1438	11829
100	J33	J32	2324156	2326207	2051	17404
100	GG27	GG28	2309348	2309738	390	8370
100	GG27	II29	2309348	2310989	1641	8370
100	GG27	GG26	2309348	2310967	1619	8370
100	OO25	OO26	1639307	1639818	511	13763
100	OO25	PP27	1639307	1641604	2297	13763
100	I64	J32	2325692	2326207	515	17404
100	F63	J32	2325335	2326207	872	17404
100	PP26	OO26	1637006	1639818	2812	13763
100	PP26	PP27	1637006	1641604	4598	13763
100	PP26	QQ72	1637006	1639285	2279	13763
100	PP26	SS52	1637006	1639027	2021	13763
100	PP53	PP52	4075193	4079051	3858	12135
100	PP53	QQ40	4075193	4077198	2005	12135
100	QQ41	PP52	4077199	4079051	1852	12135
100	QQ56	PP52	4078449	4079051	602	12135
100	SS33	SS34	3995393	3995839	446	14950
100	SS35	SS36	2678583	2679001	418	17805
102	L79	J68	344925	345324	399	16705
102	NN68	OO33	941386	944239	2853	17624
102	NN68	PP30	941386	943093	1707	17624
102	OO34	OO33	943699	944239	540	17624
102	II30	HH45	1501251	1501758	507	16469
102	J37	J38	3583137	3583568	431	7567
