Gene	5 prime intergenic length	Motif occurences
PMAA_023810	265	1
PMAA_089360	1061	3
PMAA_064180	401	2
PMAA_044880	338	2
PMAA_083950	1983	3
PMAA_023760	8534	22
PMAA_055730	5895	17
PMAA_060870	608	2
PMAA_091000	998	2
PMAA_093160	825	6
PMAA_071890	2201	15
PMAA_090060	2022	3
PMAA_040780	136	2
PMAA_048000	269	1
PMAA_048550	625	1
PMAA_082020	731	2
PMAA_017720	4793	15
PMAA_061690	557	1
PMAA_059260	294	2
PMAA_086630	543	4
PMAA_012000	152	1
PMAA_089500	3625	9
PMAA_011070	266	1
PMAA_068260	256	3
PMAA_018520	614	1
PMAA_081940	2600	8
PMAA_047060	2912	11
PMAA_065360	1163	2
PMAA_019920	101	2
PMAA_078060	1124	6
PMAA_100420	929	4
PMAA_066310	434	3
PMAA_007650	286	2
PMAA_060250	1095	3
PMAA_007120	636	2
PMAA_012910	1761	8
PMAA_027380	209	3
PMAA_006450	831	7
PMAA_072910	2236	12
PMAA_008350	1384	9
PMAA_039820	3208	9
PMAA_088360	772	3
PMAA_074120	1919	6
PMAA_068400	1916	7
PMAA_032760	90	3
PMAA_037310	1318	4
PMAA_025740	620	2
PMAA_091620	607	1
PMAA_043550	557	4
PMAA_092950	1757	6
PMAA_011690	1626	9
PMAA_100390	832	4
PMAA_038990	1724	8
PMAA_098620	349	3
PMAA_025330	180	3
PMAA_081360	992	2
PMAA_004050	1027	3
PMAA_088100	1920	4
PMAA_013750	190	1
PMAA_084700	366	4
PMAA_040330	4139	17
PMAA_013830	451	1
PMAA_072810	1188	2
PMAA_097210	1058	2
PMAA_046330	4575	7
PMAA_070540	994	4
PMAA_098440	1205	3
PMAA_053170	241	2
PMAA_044860	296	2
PMAA_076040	1365	5
PMAA_079090	965	4
PMAA_023360	636	1
PMAA_072970	1872	9
PMAA_051990	1614	8
PMAA_072600	712	3
PMAA_044960	1313	7
PMAA_059190	542	3
PMAA_071770	204	1
PMAA_079890	1078	1
PMAA_079540	968	6
PMAA_099860	409	1
PMAA_042540	1436	6
