contig	primer1	primer2	start	end	size	refrag_size
100	CC43	CC42	1939485	1939760	275	90226
100	NN81	KK28	3953389	3955097	1708	232104
100	NN81	JJ34	3953389	3953793	404	232104
100	JJ33	KK28	3953567	3955097	1530	232104
100	JJ33	JJ34	3953567	3953793	226	232104
100	J53	J52	3741218	3742903	1685	79006
100	J53	Q51	3741218	3742642	1424	79006
100	J53	FF6	3741218	3742121	903	79006
100	J53	I65	3741218	3742737	1519	79006
100	Q52	J52	3742323	3742903	580	79006
100	Q52	Q51	3742323	3742642	319	79006
100	Q52	I65	3742323	3742737	414	79006
100	FF7	J52	3741931	3742903	972	79006
100	FF7	Q51	3741931	3742642	711	79006
100	FF7	I65	3741931	3742737	806	79006
100	I66	J52	3742416	3742903	487	79006
100	I66	Q51	3742416	3742642	226	79006
100	I66	I65	3742416	3742737	321	79006
100	Y42	Y41	2659698	2660141	443	34333
100	N77	Y25	1459061	1463658	4597	84641
100	FF4	FF5	1559506	1559723	217	240570
100	FF4	J2	1559506	1560928	1422	240570
100	J6	J2	1560145	1560928	783	240570
100	J60	SS52	1633173	1639027	5854	240570
100	OO44	OO43	1032899	1033369	470	97616
100	GG4	GG5	1415045	1415265	220	81923
100	FF20	FF41	2968932	2969599	667	320189
100	DD24	DD23	2268892	2274110	5218	171552
100	HH66	HH67	3009645	3013660	4015	320189
100	KK77	KK78	1673643	1677361	3718	240570
100	II1	II2	2484761	2485792	1031	121060
100	II1	II3	2484761	2486266	1505	121060
100	II1	II4	2484761	2486819	2058	121060
100	II1	II5	2484761	2487275	2514	121060
