contig	primer1	primer2	start	end	size	refrag_size
100	CC43	CC42	1939485	1939760	275	22721
100	NN81	KK28	3953389	3955097	1708	25532
100	NN81	JJ34	3953389	3953793	404	25532
100	JJ33	KK28	3953567	3955097	1530	25532
100	JJ33	JJ34	3953567	3953793	226	25532
100	J53	J52	3741218	3742903	1685	6809
100	J53	Q51	3741218	3742642	1424	6809
100	J53	FF6	3741218	3742121	903	6809
100	J53	I65	3741218	3742737	1519	6809
100	Q52	J52	3742323	3742903	580	6809
100	Q52	Q51	3742323	3742642	319	6809
100	Q52	I65	3742323	3742737	414	6809
100	FF7	J52	3741931	3742903	972	6809
100	FF7	Q51	3741931	3742642	711	6809
100	FF7	I65	3741931	3742737	806	6809
100	I66	J52	3742416	3742903	487	6809
100	I66	Q51	3742416	3742642	226	6809
100	I66	I65	3742416	3742737	321	6809
100	Y42	Y41	2659698	2660141	443	7416
100	FF4	FF5	1559506	1559723	217	37629
100	FF4	J2	1559506	1560928	1422	37629
100	J6	J2	1560145	1560928	783	37629
100	OO44	OO43	1032899	1033369	470	11881
100	GG4	GG5	1415045	1415265	220	13371
100	FF20	FF41	2968932	2969599	667	23634
100	DD24	DD23	2268892	2274110	5218	34472
100	KK77	KK78	1673643	1677361	3718	19286
100	II1	II2	2484761	2485792	1031	11829
100	II1	II3	2484761	2486266	1505	11829
100	II1	II4	2484761	2486819	2058	11829
100	II1	II5	2484761	2487275	2514	11829
100	II1	HH81	2484761	2488232	3471	11829
100	II1	PP39	2484761	2486199	1438	11829
100	J33	J32	2324156	2326207	2051	17404
100	GG27	GG28	2309348	2309738	390	8370
100	GG27	II29	2309348	2310989	1641	8370
100	GG27	GG26	2309348	2310967	1619	8370
100	OO25	OO26	1639307	1639818	511	13763
100	OO25	PP27	1639307	1641604	2297	13763
100	FF40	FF41	2969340	2969599	259	23634
100	I64	J32	2325692	2326207	515	17404
100	F63	J32	2325335	2326207	872	17404
100	PP26	OO26	1637006	1639818	2812	13763
100	PP26	PP27	1637006	1641604	4598	13763
100	PP26	QQ72	1637006	1639285	2279	13763
100	PP26	SS52	1637006	1639027	2021	13763
100	PP53	PP52	4075193	4079051	3858	12135
100	PP53	QQ40	4075193	4077198	2005	12135
100	PP59	Y24	1457667	1458107	440	25074
100	PP59	PP60	1457667	1458180	513	25074
100	QQ41	PP52	4077199	4079051	1852	12135
100	QQ56	PP52	4078449	4079051	602	12135
100	QQ93	QQ94	984243	988743	4500	28214
100	QQ93	QQ98	984243	986594	2351	28214
100	QQ99	RR4	203833	206737	2904	37192
100	RR3	RR4	206359	206737	378	37192
100	SS33	SS34	3995393	3995839	446	14950
100	SS35	SS36	2678583	2679001	418	17805
100	TT2	TT1	2213208	2217402	4194	56276
100	TT2	TT11	2213208	2215650	2442	56276
100	TT12	TT1	2215336	2217402	2066	56276
100	TT12	TT11	2215336	2215650	314	56276
102	Q71	Q68	1034003	1034652	649	39975
102	Q71	Y56	1034003	1035159	1156	39975
102	Q71	Q70	1034003	1035122	1119	39975
102	Q71	N25	1034003	1037894	3891	39975
102	Q71	L61	1034003	1035627	1624	39975
102	Q66	Y56	1034457	1035159	702	39975
102	Q66	Q70	1034457	1035122	665	39975
102	Q66	N25	1034457	1037894	3437	39975
102	Q66	L61	1034457	1035627	1170	39975
102	Q69	Y56	1034602	1035159	557	39975
102	Q69	Q70	1034602	1035122	520	39975
102	Q69	N25	1034602	1037894	3292	39975
102	Q69	L61	1034602	1035627	1025	39975
102	Q67	Y56	1034666	1035159	493	39975
102	Q67	Q70	1034666	1035122	456	39975
102	Q67	N25	1034666	1037894	3228	39975
102	Q67	L61	1034666	1035627	961	39975
102	U50	U52	1376277	1379069	2792	28788
102	U50	U43	1376277	1377471	1194	28788
102	U50	Y26	1376277	1379612	3335	28788
102	U50	Q60	1376277	1376632	355	28788
102	U51	U52	1378214	1379069	855	28788
102	U51	Y26	1378214	1379612	1398	28788
102	L79	J68	344925	345324	399	16705
102	OO39	OO40	1475798	1476235	437	22006
102	OO36	OO40	1474218	1476235	2017	22006
102	OO36	OO35	1474218	1474681	463	22006
102	Y40	Y39	2748262	2748872	610	20952
102	Y40	O65	2748262	2751296	3034	20952
102	S22	O65	2749058	2751296	2238	20952
102	N64	Y39	2747016	2748872	1856	20952
102	N64	O65	2747016	2751296	4280	20952
102	N64	N26	2747016	2747637	621	20952
102	NN24	DD21	2314551	2320430	5879	45194
102	NN24	PP55	2314551	2318388	3837	45194
102	OO29	OO30	3424842	3425338	496	50996
102	OO46	OO45	3326517	3327014	497	54029
102	N24	Q68	1033758	1034652	894	39975
102	N24	JJ13	1033758	1034005	247	39975
102	N24	Y56	1033758	1035159	1401	39975
102	N24	Q70	1033758	1035122	1364	39975
102	N24	N25	1033758	1037894	4136	39975
102	N24	L61	1033758	1035627	1869	39975
102	N24	GG22	1033758	1034068	310	39975
102	II18	J40	2436398	2441994	5596	33307
102	II18	HH71	2436398	2437623	1225	33307
102	NN68	OO33	941386	944239	2853	17624
102	NN68	PP30	941386	943093	1707	17624
102	OO34	OO33	943699	944239	540	17624
102	AA43	Y39	2747291	2748872	1581	20952
102	AA43	O65	2747291	2751296	4005	20952
102	AA43	N26	2747291	2747637	346	20952
102	AA7	O65	2749041	2751296	2255	20952
102	II30	HH45	1501251	1501758	507	16469
102	U48	U52	1377507	1379069	1562	28788
102	U48	Y26	1377507	1379612	2105	28788
102	U44	U52	1375750	1379069	3319	28788
102	U44	U43	1375750	1377471	1721	28788
102	U44	Y26	1375750	1379612	3862	28788
102	U44	Q60	1375750	1376632	882	28788
102	U53	U52	1378842	1379069	227	28788
102	U53	Y26	1378842	1379612	770	28788
102	U42	U52	1376319	1379069	2750	28788
102	U42	U43	1376319	1377471	1152	28788
102	U42	Y26	1376319	1379612	3293	28788
102	U42	Q60	1376319	1376632	313	28788
102	L60	N25	1035277	1037894	2617	39975
102	L60	L61	1035277	1035627	350	39975
102	HH3	HH2	1337013	1338633	1620	28818
102	HH3	HH4	1337013	1337344	331	28818
102	N47	N48	629103	629723	620	32751
102	J37	J38	3583137	3583568	431	7567
102	J39	J40	2441513	2441994	481	33307
102	J39	SS68	2441513	2442908	1395	33307
102	DD22	PP55	2313516	2318388	4872	45194
102	FF47	NN23	2314902	2320814	5912	45194
102	FF47	DD21	2314902	2320430	5528	45194
102	FF47	PP55	2314902	2318388	3486	45194
102	DD64	PP57	2801437	2805837	4400	7189
102	HH70	II17	2432753	2434793	2040	33307
102	HH70	HH71	2432753	2437623	4870	33307
102	HH70	JJ9	2432753	2435781	3028	33307
102	OO3	NN64	1108383	1113708	5325	26925
102	OO3	OO60	1108383	1114044	5661	26925
102	OO3	PP7	1108383	1113416	5033	26925
102	OO3	TT39	1108383	1112605	4222	26925
102	NN63	NN64	1112591	1113708	1117	26925
102	NN63	MM25	1112591	1115007	2416	26925
102	NN63	OO60	1112591	1114044	1453	26925
102	NN63	PP7	1112591	1113416	825	26925
102	MM24	NN64	1111088	1113708	2620	26925
102	MM24	MM25	1111088	1115007	3919	26925
102	MM24	OO60	1111088	1114044	2956	26925
102	MM24	PP7	1111088	1113416	2328	26925
102	MM24	TT39	1111088	1112605	1517	26925
102	Q35	L13	2275998	2276576	578	9861
102	Q37	L13	2276004	2276576	572	9861
102	N78	L13	2274905	2276576	1671	9861
102	N78	Q36	2274905	2275624	719	9861
102	N78	L6	2274905	2276160	1255	9861
102	L4	L13	2274939	2276576	1637	9861
102	L4	Q36	2274939	2275624	685	9861
102	L4	L6	2274939	2276160	1221	9861
102	L5	L13	2275606	2276576	970	9861
102	L5	L6	2275606	2276160	554	9861
102	Q39	L13	2273790	2276576	2786	9861
102	Q39	Q36	2273790	2275624	1834	9861
102	Q39	L6	2273790	2276160	2370	9861
102	Q39	L7	2273790	2274688	898	9861
102	J71	L42	474976	475521	545	12083
102	L28	L42	474976	475521	545	12083
102	L49	L42	475076	475521	445	12083
102	L37	L42	474971	475521	550	12083
102	I68	I67	2260810	2261245	435	4649
102	F76	F75	2262088	2263164	1076	6016
102	EE32	U52	1375615	1379069	3454	28788
102	EE32	U43	1375615	1377471	1856	28788
102	EE32	Y26	1375615	1379612	3997	28788
102	EE32	Q60	1375615	1376632	1017	28788
102	U37	U52	1376272	1379069	2797	28788
102	U37	U43	1376272	1377471	1199	28788
102	U37	Y26	1376272	1379612	3340	28788
102	U37	Q60	1376272	1376632	360	28788
102	OO59	NN64	1112101	1113708	1607	26925
102	OO59	MM25	1112101	1115007	2906	26925
102	OO59	OO60	1112101	1114044	1943	26925
102	OO59	PP7	1112101	1113416	1315	26925
102	OO59	TT39	1112101	1112605	504	26925
102	OO71	CC7	3344105	3346036	1931	31843
102	PP6	NN64	1113064	1113708	644	26925
102	PP6	MM25	1113064	1115007	1943	26925
102	PP6	OO60	1113064	1114044	980	26925
102	PP6	PP7	1113064	1113416	352	26925
102	PP12	CC7	3344045	3346036	1991	31843
102	PP31	OO33	941478	944239	2761	17624
102	PP31	PP30	941478	943093	1615	17624
102	PP33	PP57	2801021	2805837	4816	7189
102	PP56	NN23	2318043	2320814	2771	45194
102	PP56	DD21	2318043	2320430	2387	45194
102	PP56	MM69	2318043	2321346	3303	45194
102	PP56	PP55	2318043	2318388	345	45194
102	QQ66	QQ65	786401	790873	4472	6864
102	QQ66	RR29	786401	789065	2664	6864
102	QQ70	NN47	450708	452653	1945	4691
102	QQ70	N59	450708	451388	680	4691
102	QQ70	RR33	450708	451327	619	4691
102	QQ74	OO33	943897	944239	342	17624
102	RR30	QQ65	788644	790873	2229	6864
102	RR30	RR29	788644	789065	421	6864
102	RR32	RR31	653377	653832	455	1674
102	RR32	RR41	653377	653667	290	1674
102	RR34	NN47	450875	452653	1778	4691
102	RR34	N59	450875	451388	513	4691
102	RR34	RR33	450875	451327	452	4691
102	RR44	QQ65	788587	790873	2286	6864
