Gene	5 prime intergenic length	Motif count	Motif positions(plus strand)	Motif positions(minus strand)
PMAA_023810	265	1	-130	
PMAA_089360	1061	3	-214,-820	-278
PMAA_064180	401	2	-376	-187
PMAA_044880	338	2	-232	-52
PMAA_083950	1983	3	-1885	-345,-1330
PMAA_023760	2500	10	-276,-288,-2298	-730,-772,-1280,-1628,-1765,-1829,-2378
PMAA_055730	2500	6	-932,-977	-135,-1271,-1731,-1781
PMAA_060870	608	2		-155,-409
PMAA_091000	998	2	-8,-635	
PMAA_093160	825	6	-41,-266,-649	-206,-609,-660
PMAA_071890	2201	15	-574,-732,-1120,-1127,-1247,-1258,-1276,-1293,-1458,-1836	-226,-622,-883,-1607,-1692
PMAA_090060	2022	3	-288	-1556,-1976
PMAA_040780	136	2	-58	-58
PMAA_048000	269	1		-61
PMAA_048550	625	1	-489	
PMAA_082020	731	2	-333,-464	
PMAA_017720	2500	5	-1899	-902,-998,-1670,-1869
PMAA_061690	557	1	-537	
PMAA_059260	294	2	-138	-257
PMAA_086630	543	4	-247	-131,-208,-481
PMAA_012000	152	1		-120
PMAA_089500	2500	6	-1227,-2224,-2446	-1958,-1985,-2231
PMAA_011070	266	1	-145	
PMAA_068260	256	3	-84	-4,-13
PMAA_018520	614	1	-198	
PMAA_081940	2500	8	-412,-1412,-2454	-318,-627,-1809,-2126,-2357
PMAA_047060	2500	11	-1530,-1901,-2118	-3,-201,-244,-718,-1195,-1410,-1423,-1728
PMAA_065360	1163	2		-899,-989
PMAA_019920	101	2		-2,-59
PMAA_078060	1124	6	-227,-907,-1123	-861,-872,-961
PMAA_100420	929	4	-678	-35,-126,-526
PMAA_066310	434	3	-39	-3,-99
PMAA_007650	286	2	-119,-167	
PMAA_060250	1095	3	-576,-944	-632
PMAA_007120	636	2	-543	-630
PMAA_012910	1761	8	-661,-797,-1192,-1385	-398,-906,-1213,-1302
PMAA_027380	209	3	-122	-184,-197
PMAA_006450	831	7	-27,-87,-177	-266,-507,-660,-784
PMAA_072910	2236	12	-206,-212,-1618,-2032,-2048,-2171	-660,-672,-1470,-1583,-1762,-2020
PMAA_008350	1384	9	-377,-491,-815,-1201,-1333	-451,-605,-727,-1153
PMAA_039820	2500	3	-1842	-287,-1237
PMAA_088360	772	3	-245,-594	-70
PMAA_074120	1919	6	-1466,-1483,-1501	-578,-885,-1375
PMAA_068400	1916	7	-26,-1688,-1842	-118,-158,-185,-373
PMAA_032760	90	3	-36	-45,-66
PMAA_037310	1318	4	-74,-812	-47,-84
PMAA_025740	620	2	-6	-236
PMAA_091620	607	1		-3
PMAA_043550	557	4	-335,-469	-181,-216
PMAA_092950	1757	6	-314,-1111	-75,-606,-1081,-1630
PMAA_011690	1626	9	-221,-279,-773,-1624	-61,-71,-222,-937,-1429
PMAA_100390	832	4	-435,-581,-755	-678
