contig	primer1	primer2	start	end	size	refrag_size
100	CC43	CC42	1939485	1939760	275	6337
100	J53	Q51	3741218	3742642	1424	9180
100	J53	FF6	3741218	3742121	903	9180
100	Q52	Q51	3742323	3742642	319	9180
100	FF7	Q51	3741931	3742642	711	9180
100	I66	Q51	3742416	3742642	226	9180
100	Y42	Y41	2659698	2660141	443	9996
100	FF4	FF5	1559506	1559723	217	11409
100	FF4	J2	1559506	1560928	1422	11409
100	J6	J2	1560145	1560928	783	11409
100	OO44	OO43	1032899	1033369	470	15217
100	II1	II2	2484761	2485792	1031	12916
100	II1	II3	2484761	2486266	1505	12916
100	II1	II4	2484761	2486819	2058	12916
100	II1	II5	2484761	2487275	2514	12916
100	II1	HH81	2484761	2488232	3471	12916
100	II1	PP39	2484761	2486199	1438	12916
100	GG27	GG28	2309348	2309738	390	15895
100	GG27	II29	2309348	2310989	1641	15895
100	GG27	GG26	2309348	2310967	1619	15895
100	OO25	OO26	1639307	1639818	511	11179
100	OO25	PP27	1639307	1641604	2297	11179
100	GG25	GG28	2307445	2309738	2293	15895
100	GG25	II29	2307445	2310989	3544	15895
100	GG25	GG26	2307445	2310967	3522	15895
100	PP26	OO26	1637006	1639818	2812	11179
100	PP26	PP27	1637006	1641604	4598	11179
100	PP26	QQ72	1637006	1639285	2279	11179
100	PP26	SS52	1637006	1639027	2021	11179
100	PP59	Y24	1457667	1458107	440	7834
100	PP59	PP60	1457667	1458180	513	7834
100	QQ41	PP52	4077199	4079051	1852	4592
100	QQ56	PP52	4078449	4079051	602	4592
100	QQ99	RR4	203833	206737	2904	5131
100	RR3	RR4	206359	206737	378	5131
100	SS33	SS34	3995393	3995839	446	3730
102	Q71	Q68	1034003	1034652	649	9480
102	Q71	Y56	1034003	1035159	1156	9480
102	Q71	Q70	1034003	1035122	1119	9480
102	Q71	L61	1034003	1035627	1624	9480
102	Q66	Y56	1034457	1035159	702	9480
102	Q66	Q70	1034457	1035122	665	9480
102	Q66	L61	1034457	1035627	1170	9480
102	Q69	Y56	1034602	1035159	557	9480
102	Q69	Q70	1034602	1035122	520	9480
102	Q69	L61	1034602	1035627	1025	9480
102	Q67	Y56	1034666	1035159	493	9480
102	Q67	Q70	1034666	1035122	456	9480
102	Q67	L61	1034666	1035627	961	9480
102	U50	U52	1376277	1379069	2792	13940
102	U50	U43	1376277	1377471	1194	13940
102	U50	Y26	1376277	1379612	3335	13940
102	U50	Q60	1376277	1376632	355	13940
102	U51	U52	1378214	1379069	855	13940
102	U51	Y26	1378214	1379612	1398	13940
102	L79	N56	344925	346397	1472	12689
102	L79	J68	344925	345324	399	12689
102	L79	J67	344925	346092	1167	12689
102	OO39	OO40	1475798	1476235	437	13347
102	OO36	OO40	1474218	1476235	2017	13347
102	OO36	OO35	1474218	1474681	463	13347
102	Y40	Y39	2748262	2748872	610	14269
102	Y40	O65	2748262	2751296	3034	14269
102	S22	O65	2749058	2751296	2238	14269
102	N28	Y39	2745899	2748872	2973	14269
102	N28	O65	2745899	2751296	5397	14269
102	N28	N26	2745899	2747637	1738	14269
102	N64	Y39	2747016	2748872	1856	14269
102	N64	O65	2747016	2751296	4280	14269
102	N64	N26	2747016	2747637	621	14269
102	NN24	DD21	2314551	2320430	5879	12302
102	NN24	PP55	2314551	2318388	3837	12302
102	OO29	OO30	3424842	3425338	496	10434
102	OO46	OO45	3326517	3327014	497	18589
102	N24	Q68	1033758	1034652	894	9480
102	N24	JJ13	1033758	1034005	247	9480
102	N24	Y56	1033758	1035159	1401	9480
102	N24	Q70	1033758	1035122	1364	9480
102	N24	L61	1033758	1035627	1869	9480
102	N24	GG22	1033758	1034068	310	9480
102	NN68	PP30	941386	943093	1707	6180
102	AA43	Y39	2747291	2748872	1581	14269
102	AA43	O65	2747291	2751296	4005	14269
102	AA43	N26	2747291	2747637	346	14269
102	AA7	O65	2749041	2751296	2255	14269
102	II30	HH45	1501251	1501758	507	15602
102	U48	U52	1377507	1379069	1562	13940
102	U48	Y26	1377507	1379612	2105	13940
102	U44	U52	1375750	1379069	3319	13940
102	U44	U43	1375750	1377471	1721	13940
102	U44	Y26	1375750	1379612	3862	13940
102	U44	Q60	1375750	1376632	882	13940
102	U53	U52	1378842	1379069	227	13940
102	U53	Y26	1378842	1379612	770	13940
102	U42	U52	1376319	1379069	2750	13940
102	U42	U43	1376319	1377471	1152	13940
102	U42	Y26	1376319	1379612	3293	13940
102	U42	Q60	1376319	1376632	313	13940
102	L60	L61	1035277	1035627	350	9480
102	HH3	HH4	1337013	1337344	331	3947
102	J37	J38	3583137	3583568	431	10011
102	J39	J40	2441513	2441994	481	5728
102	J39	SS68	2441513	2442908	1395	5728
102	DD22	PP55	2313516	2318388	4872	12302
102	FF47	NN23	2314902	2320814	5912	12302
102	FF47	DD21	2314902	2320430	5528	12302
102	FF47	PP55	2314902	2318388	3486	12302
102	NN63	NN64	1112591	1113708	1117	8336
102	NN63	MM25	1112591	1115007	2416	8336
102	NN63	OO60	1112591	1114044	1453	8336
102	NN63	PP7	1112591	1113416	825	8336
102	Q35	L13	2275998	2276576	578	12839
102	Q35	L30	2275998	2278971	2973	12839
