contig	primer1	primer2	start	end	size
100	CC43	CC42	1939485	1939760	275
100	NN81	KK28	3953389	3955097	1708
100	NN81	JJ34	3953389	3953793	404
100	JJ33	KK28	3953567	3955097	1530
100	JJ33	JJ34	3953567	3953793	226
100	J53	Q51	3741218	3742642	1424
100	J53	FF6	3741218	3742121	903
100	Q52	Q51	3742323	3742642	319
100	FF7	Q51	3741931	3742642	711
100	I66	Q51	3742416	3742642	226
100	Y42	Y41	2659698	2660141	443
100	FF4	FF5	1559506	1559723	217
100	FF4	J2	1559506	1560928	1422
100	J6	J2	1560145	1560928	783
100	OO44	OO43	1032899	1033369	470
100	FF20	FF41	2968932	2969599	667
100	HH66	HH67	3009645	3013660	4015
100	II1	II2	2484761	2485792	1031
100	II1	II3	2484761	2486266	1505
100	II1	II4	2484761	2486819	2058
100	II1	II5	2484761	2487275	2514
100	II1	HH81	2484761	2488232	3471
100	II1	PP39	2484761	2486199	1438
100	GG27	GG28	2309348	2309738	390
100	GG27	II29	2309348	2310989	1641
100	GG27	GG26	2309348	2310967	1619
100	OO25	OO26	1639307	1639818	511
100	OO25	PP27	1639307	1641604	2297
100	FF40	FF41	2969340	2969599	259
100	GG25	GG28	2307445	2309738	2293
100	GG25	II29	2307445	2310989	3544
100	GG25	GG26	2307445	2310967	3522
100	PP26	OO26	1637006	1639818	2812
100	PP26	PP27	1637006	1641604	4598
100	PP26	QQ72	1637006	1639285	2279
100	PP26	SS52	1637006	1639027	2021
100	PP59	Y24	1457667	1458107	440
100	PP59	PP60	1457667	1458180	513
100	QQ41	PP52	4077199	4079051	1852
100	QQ56	PP52	4078449	4079051	602
100	QQ99	RR4	203833	206737	2904
100	RR3	RR4	206359	206737	378
100	SS33	SS34	3995393	3995839	446
100	TT2	TT11	2213208	2215650	2442
100	TT12	TT11	2215336	2215650	314
102	Q71	Q68	1034003	1034652	649
102	Q71	Y56	1034003	1035159	1156
102	Q71	Q70	1034003	1035122	1119
102	Q71	L61	1034003	1035627	1624
102	Q66	Y56	1034457	1035159	702
102	Q66	Q70	1034457	1035122	665
102	Q66	L61	1034457	1035627	1170
102	Q69	Y56	1034602	1035159	557
102	Q69	Q70	1034602	1035122	520
102	Q69	L61	1034602	1035627	1025
102	Q67	Y56	1034666	1035159	493
102	Q67	Q70	1034666	1035122	456
102	Q67	L61	1034666	1035627	961
102	U50	U52	1376277	1379069	2792
102	U50	U43	1376277	1377471	1194
102	U50	Y26	1376277	1379612	3335
102	U50	Q60	1376277	1376632	355
102	U51	U52	1378214	1379069	855
102	U51	Y26	1378214	1379612	1398
102	L79	N56	344925	346397	1472
102	L79	J68	344925	345324	399
102	L79	J67	344925	346092	1167
102	OO39	OO40	1475798	1476235	437
102	OO36	OO40	1474218	1476235	2017
102	OO36	OO35	1474218	1474681	463
102	Y40	Y39	2748262	2748872	610
102	Y40	O65	2748262	2751296	3034
102	S22	O65	2749058	2751296	2238
102	N28	Y39	2745899	2748872	2973
102	N28	O65	2745899	2751296	5397
102	N28	N26	2745899	2747637	1738
102	N64	Y39	2747016	2748872	1856
102	N64	O65	2747016	2751296	4280
102	N64	N26	2747016	2747637	621
102	NN24	DD21	2314551	2320430	5879
102	NN24	PP55	2314551	2318388	3837
102	OO29	OO30	3424842	3425338	496
102	OO46	OO45	3326517	3327014	497
102	N24	Q68	1033758	1034652	894
102	N24	JJ13	1033758	1034005	247
102	N24	Y56	1033758	1035159	1401
102	N24	Q70	1033758	1035122	1364
102	N24	L61	1033758	1035627	1869
102	N24	GG22	1033758	1034068	310
102	NN68	PP30	941386	943093	1707
102	AA43	Y39	2747291	2748872	1581
102	AA43	O65	2747291	2751296	4005
102	AA43	N26	2747291	2747637	346
102	AA7	O65	2749041	2751296	2255
102	II30	HH45	1501251	1501758	507
102	U48	U52	1377507	1379069	1562
102	U48	Y26	1377507	1379612	2105
102	U44	U52	1375750	1379069	3319
102	U44	U43	1375750	1377471	1721
102	U44	Y26	1375750	1379612	3862
102	U44	Q60	1375750	1376632	882
102	U53	U52	1378842	1379069	227
102	U53	Y26	1378842	1379612	770
102	U42	U52	1376319	1379069	2750
102	U42	U43	1376319	1377471	1152
102	U42	Y26	1376319	1379612	3293
102	U42	Q60	1376319	1376632	313
102	L60	L61	1035277	1035627	350
102	HH3	HH4	1337013	1337344	331
102	J37	J38	3583137	3583568	431
102	J39	J40	2441513	2441994	481
102	J39	SS68	2441513	2442908	1395
102	DD22	PP55	2313516	2318388	4872
102	FF47	NN23	2314902	2320814	5912
102	FF47	DD21	2314902	2320430	5528
102	FF47	PP55	2314902	2318388	3486
102	NN63	NN64	1112591	1113708	1117
102	NN63	MM25	1112591	1115007	2416
102	NN63	OO60	1112591	1114044	1453
102	NN63	PP7	1112591	1113416	825
102	Q35	L13	2275998	2276576	578
102	Q35	L30	2275998	2278971	2973
102	Q35	N67	2275998	2278135	2137
102	Q37	L13	2276004	2276576	572
102	Q37	L30	2276004	2278971	2967
102	Q37	N67	2276004	2278135	2131
102	L31	L30	2277471	2278971	1500
102	L31	N67	2277471	2278135	664
102	N78	L13	2274905	2276576	1671
102	N78	Q36	2274905	2275624	719
102	N78	L30	2274905	2278971	4066
102	N78	L6	2274905	2276160	1255
102	N78	N67	2274905	2278135	3230
102	L4	L13	2274939	2276576	1637
102	L4	Q36	2274939	2275624	685
102	L4	L30	2274939	2278971	4032
102	L4	L6	2274939	2276160	1221
102	L4	N67	2274939	2278135	3196
102	L5	L13	2275606	2276576	970
102	L5	L30	2275606	2278971	3365
102	L5	L6	2275606	2276160	554
102	L5	N67	2275606	2278135	2529
102	N68	L30	2276632	2278971	2339
102	N68	N67	2276632	2278135	1503
102	Q39	L13	2273790	2276576	2786
102	Q39	Q36	2273790	2275624	1834
102	Q39	L30	2273790	2278971	5181
102	Q39	L6	2273790	2276160	2370
102	Q39	L7	2273790	2274688	898
102	Q39	N67	2273790	2278135	4345
102	J71	L42	474976	475521	545
102	L28	L42	474976	475521	545
102	L49	L42	475076	475521	445
102	L37	L42	474971	475521	550
102	I68	I67	2260810	2261245	435
102	EE32	U52	1375615	1379069	3454
102	EE32	U43	1375615	1377471	1856
102	EE32	Y26	1375615	1379612	3997
102	EE32	Q60	1375615	1376632	1017
102	U37	U52	1376272	1379069	2797
102	U37	U43	1376272	1377471	1199
102	U37	Y26	1376272	1379612	3340
102	U37	Q60	1376272	1376632	360
102	OO59	NN64	1112101	1113708	1607
102	OO59	MM25	1112101	1115007	2906
102	OO59	OO60	1112101	1114044	1943
102	OO59	PP7	1112101	1113416	1315
102	OO59	TT39	1112101	1112605	504
102	OO71	CC7	3344105	3346036	1931
102	PP6	NN64	1113064	1113708	644
102	PP6	MM25	1113064	1115007	1943
102	PP6	OO60	1113064	1114044	980
102	PP6	PP7	1113064	1113416	352
102	PP12	CC7	3344045	3346036	1991
102	PP31	PP30	941478	943093	1615
102	PP56	NN23	2318043	2320814	2771
102	PP56	DD21	2318043	2320430	2387
102	PP56	MM69	2318043	2321346	3303
102	PP56	PP55	2318043	2318388	345
102	QQ62	RR31	651474	653832	2358
102	QQ62	RR41	651474	653667	2193
102	QQ70	NN47	450708	452653	1945
102	QQ70	N59	450708	451388	680
102	QQ70	RR33	450708	451327	619
102	QQ74	OO33	943897	944239	342
102	QQ75	QQ80	3490430	3491664	1234
102	QQ79	QQ80	3491316	3491664	348
102	RR30	QQ65	788644	790873	2229
102	RR30	RR29	788644	789065	421
102	RR32	RR31	653377	653832	455
102	RR32	RR41	653377	653667	290
102	RR34	NN47	450875	452653	1778
102	RR34	N59	450875	451388	513
102	RR34	RR33	450875	451327	452
102	RR44	QQ65	788587	790873	2286
102	RR44	RR29	788587	789065	478
102	TT38	NN64	1112606	1113708	1102
102	TT38	MM25	1112606	1115007	2401
102	TT38	OO60	1112606	1114044	1438
102	TT38	PP7	1112606	1113416	810
102	TT81	RR31	652186	653832	1646
102	TT81	RR41	652186	653667	1481
103	LL21	DD11	263962	264949	987
103	LL21	CC57	263962	264590	628
103	LL21	GG69	263962	264655	693
103	LL21	GG67	263962	264845	883
103	LL21	CC51	263962	264774	812
103	LL21	JJ20	263962	266262	2300
103	LL21	II15	263962	268116	4154
103	LL22	DD11	264135	264949	814
103	LL22	CC57	264135	264590	455
103	LL22	GG69	264135	264655	520
103	LL22	GG67	264135	264845	710
103	LL22	CC51	264135	264774	639
103	LL22	JJ20	264135	266262	2127
103	LL22	II15	264135	268116	3981
103	DD12	DD11	264296	264949	653
103	DD12	CC57	264296	264590	294
103	DD12	GG69	264296	264655	359
103	DD12	GG67	264296	264845	549
103	DD12	CC51	264296	264774	478
103	DD12	JJ20	264296	266262	1966
103	DD12	II15	264296	268116	3820
103	CC58	DD11	263166	264949	1783
103	CC58	CC57	263166	264590	1424
103	CC58	GG69	263166	264655	1489
103	CC58	GG67	263166	264845	1679
103	CC58	CC51	263166	264774	1608
103	CC58	JJ20	263166	266262	3096
103	CC58	II15	263166	268116	4950
103	CC58	II14	263166	263831	665
103	GG70	DD11	264656	264949	293
103	GG70	JJ20	264656	266262	1606
103	GG70	II15	264656	268116	3460
103	CC52	DD11	264526	264949	423
103	CC52	GG67	264526	264845	319
103	CC52	CC51	264526	264774	248
103	CC52	JJ20	264526	266262	1736
103	CC52	II15	264526	268116	3590
103	LL100	LL78	2702011	2707829	5818
103	LL100	LL99	2702011	2707663	5652
103	KK27	JJ32	2698467	2701592	3125
103	KK27	JJ36	2698467	2700436	1969
103	JJ79	JJ32	2698730	2701592	2862
103	JJ79	JJ36	2698730	2700436	1706
103	kk79	JJ32	2698600	2701592	2992
103	kk79	JJ36	2698600	2700436	1836
103	HH54	N74	878199	879728	1529
103	CC69	HH53	874879	878194	3315
103	CC69	N74	874879	879728	4849
103	JJ35	JJ32	2700235	2701592	1357
103	JJ35	JJ36	2700235	2700436	201
103	OO37	OO38	1936479	1936970	491
103	LL66	LL65	3139241	3139700	459
103	JJ17	DD11	263890	264949	1059
103	JJ17	CC57	263890	264590	700
103	JJ17	GG69	263890	264655	765
103	JJ17	GG67	263890	264845	955
103	JJ17	CC51	263890	264774	884
103	JJ17	JJ20	263890	266262	2372
103	JJ17	II15	263890	268116	4226
103	II16	II15	267559	268116	557
103	II13	DD11	263511	264949	1438
103	II13	CC57	263511	264590	1079
103	II13	GG69	263511	264655	1144
103	II13	GG67	263511	264845	1334
103	II13	CC51	263511	264774	1263
103	II13	JJ20	263511	266262	2751
103	II13	II15	263511	268116	4605
103	II13	II14	263511	263831	320
103	JJ59	JJ60	2442670	2442994	324
103	JJ59	QQ19	2442670	2445881	3211
103	JJ59	QQ34	2442670	2446898	4228
103	NN22	NN21	1688709	1689162	453
103	NN22	CC13	1688709	1690915	2206
103	NN22	EE34	1688709	1690736	2027
